timestamp(ms),Air Temp,
"1741876910.703","26.61",
"1741876911.704","26.61",
"1741876912.705","26.62",
"1741876913.706","26.62",
"1741876914.71","26.63",
"1741876915.708","26.62",
"1741876916.709","26.64",
"1741876917.71","26.61",
"1741876918.711","26.64",
"1741876919.712","26.6",
"1741876920.719","26.63",
"1741876921.714","26.6",
"1741876922.715","26.62",
"1741876923.716","26.65",
"1741876924.717","26.62",
"1741876925.718","26.62",
"1741876926.72","26.62",
"1741876927.721","26.62",
"1741876928.723","26.63",
"1741876929.723","26.6",
"1741876930.724","26.63",
"1741876931.725","26.62",
"1741876932.727","26.64",
"1741876933.727","26.65",
"1741876934.728","26.62",
"1741876935.729","26.64",
"1741876936.731","26.62",
"1741876937.747","26.64",
"1741876938.737","26.63",
"1741876939.734","26.64",
"1741876940.735","26.64",
"1741876941.736","26.64",
"1741876942.737","26.64",
"1741876943.737","26.64",
"1741876944.743","26.64",
"1741876945.74","26.62",
"1741876946.741","26.62",
"1741876947.742","26.65",
"1741876948.743","26.62",
"1741876949.753","26.63",
"1741876950.745","26.63",
"1741876951.746","26.62",
"1741876952.747","26.62",
"1741876953.75","26.64",
"1741876954.749","26.65",
"1741876955.75","26.64",
"1741876956.761","26.63",
"1741876957.752","26.63",
"1741876958.753","26.64",
"1741876959.754","26.65",
"1741876960.755","26.64",
"1741876961.756","26.63",
"1741876962.757","26.64",
"1741876963.758","26.64",
"1741876964.759","26.64",
"1741876965.76","26.63",
"1741876966.761","26.64",
"1741876967.762","26.65",
"1741876968.763","26.65",
"1741876969.769","26.64",
"1741876970.766","26.64",
"1741876971.766","26.64",
"1741876972.767","26.64",
"1741876973.768","26.63",
"1741876974.773","26.64",
"1741876975.77","26.65",
"1741876976.771","26.65",
"1741876977.772","26.65",
"1741876978.773","26.64",
"1741876979.783","26.63",
"1741876980.775","26.66",
"1741876981.776","26.65",
"1741876982.777","26.66",
"1741876983.778","26.64",
"1741876984.779","26.65",
"1741876985.78","26.64",
"1741876986.781","26.67",
"1741876987.787","26.65",
"1741876988.784","26.65",
"1741876989.785","26.62",
"1741876990.786","26.66",
"1741876991.797","26.64",
"1741876992.797","26.65",
"1741876993.789","26.66",
"1741876994.79","26.65",
"1741876995.791","26.63",
"1741876996.792","26.65",
"1741876997.807","26.65",
"1741876998.796","26.65",
"1741876999.795","26.66",
"1741877000.796","26.64",
"1741877001.797","26.64",
"1741877002.798","26.67",
"1741877003.812","26.65",
"1741877004.804","26.65",
"1741877005.801","26.65",
"1741877006.802","26.66",
"1741877007.803","26.66",
"1741877008.804","26.66",
"1741877009.805","26.66",
"1741877010.811","26.63",
"1741877011.807","26.64",
"1741877012.808","26.64",
"1741877013.809","26.67",
"1741877014.81","26.64",
"1741877015.829","26.66",
"1741877016.813","26.65",
"1741877017.813","26.66",
"1741877018.814","26.65",
"1741877019.816","26.65",
"1741877020.816","26.67",
"1741877021.827","26.65",
"1741877022.834","26.64",
"1741877023.819","26.67",
"1741877024.82","26.62",
"1741877025.821","26.65",
"1741877026.822","26.66",
"1741877027.823","26.66",
"1741877028.828","26.66",
"1741877029.825","26.64",
"1741877030.826","26.66",
"1741877031.828","26.65",
"1741877032.828","26.66",
"1741877033.846","26.67",
"1741877034.83","26.65",
"1741877035.833","26.68",
"1741877036.832","26.65",
"1741877037.833","26.66",
"1741877038.834","26.66",
"1741877039.844","26.65",
"1741877040.836","26.66",
"1741877041.838","26.66",
"1741877042.838","26.67",
"1741877043.84","26.65",
"1741877044.841","26.67",
"1741877045.859","26.65",
"1741877046.842","26.67",
"1741877047.844","26.65",
"1741877048.845","26.67",
"1741877049.846","26.67",
"1741877050.847","26.64",
"1741877051.86","26.68",
"1741877052.849","26.68",
"1741877053.854","26.67",
"1741877054.851","26.66",
"1741877055.852","26.67",
"1741877056.853","26.66",
"1741877057.854","26.65",
"1741877058.86","26.67",
"1741877059.856","26.65",
"1741877060.857","26.68",
"1741877061.858","26.65",
"1741877062.859","26.64",
"1741877063.874","26.68",
"1741877064.861","26.65",
"1741877065.862","26.68",
"1741877066.863","26.68",
"1741877067.864","26.67",
"1741877068.866","26.67",
"1741877069.88","26.67",
"1741877070.87","26.66",
"1741877071.868","26.67",
"1741877072.869","26.69",
"1741877073.87","26.67",
"1741877074.871","26.68",
"1741877075.872","26.68",
"1741877076.876","26.69",
"1741877077.874","26.67",
"1741877078.875","26.65",
"1741877079.876","26.68",
"1741877080.877","26.69",
"1741877081.878","26.68",
"1741877082.879","26.68",
"1741877083.88","26.67",
"1741877084.882","26.68",
"1741877085.883","26.69",
"1741877086.883","26.67",
"1741877087.884","26.68",
"1741877088.894","26.69",
"1741877089.886","26.68",
"1741877090.887","26.67",
"1741877091.889","26.69",
"1741877092.889","26.67",
"1741877093.89","26.67",
"1741877094.891","26.67",
"1741877095.893","26.69",
"1741877096.893","26.69",
"1741877097.894","26.67",
"1741877098.895","26.7",
"1741877099.896","26.68",
"1741877100.898","26.69",
"1741877101.899","26.67",
"1741877102.899","26.68",
"1741877103.9","26.71",
"1741877104.901","26.67",
"1741877105.902","26.68",
"1741877106.911","26.68",
"1741877107.905","26.69",
"1741877108.906","26.68",
"1741877109.907","26.69",
"1741877110.908","26.68",
"1741877111.922","26.68",
"1741877112.91","26.7",
"1741877113.911","26.69",
"1741877114.912","26.68",
"1741877115.913","26.68",
"1741877116.914","26.69",
"1741877117.915","26.68",
"1741877118.925","26.68",
"1741877119.917","26.71",
"1741877120.918","26.68",
"1741877121.919","26.72",
"1741877122.921","26.69",
"1741877123.921","26.71",
"1741877124.928","26.7",
"1741877125.923","26.7",
"1741877126.924","26.69",
"1741877127.926","26.68",
"1741877128.927","26.69",
"1741877129.939","26.69",
"1741877130.928","26.69",
"1741877131.929","26.69",
"1741877132.93","26.68",
"1741877133.933","26.68",
"1741877134.933","26.68",
"1741877135.933","26.68",
"1741877136.936","26.7",
"1741877137.936","26.69",
"1741877138.937","26.7",
"1741877139.938","26.69",
"1741877140.939","26.69",
"1741877141.948","26.68",
"1741877142.947","26.7",
"1741877143.941","26.69",
"1741877144.943","26.68",
"1741877145.944","26.7",
"1741877146.944","26.7",
"1741877147.946","26.68",
"1741877148.946","26.71",
"1741877149.949","26.7",
"1741877150.949","26.71",
"1741877151.949","26.7",
"1741877152.95","26.7",
"1741877153.962","26.7",
"1741877154.961","26.7",
"1741877155.953","26.71",
"1741877156.955","26.69",
"1741877157.956","26.72",
"1741877158.957","26.71",
"1741877159.958","26.7",
"1741877160.963","26.69",
